Champion1,Champion2,WinCount,LossCount,TotalCount,WinRate
Anivia,Camille,2,0,2,1.0
Naafiri,Corki,1,0,1,1.0
Bel'Veth,Morgana,5,0,5,1.0
Yone,Kha'Zix,3,0,3,1.0
Naafiri,Rumble,1,0,1,1.0
Yorick,Neeko,1,0,1,1.0
Brand,Milio,2,0,2,1.0
Heimerdinger,Azir,1,0,1,1.0
Yorick,Katarina,1,0,1,1.0
Seraphine,Twisted Fate,2,0,2,1.0
Heimerdinger,Olaf,1,0,1,1.0
Qiyana,Milio,1,0,1,1.0
Nautilus,Lee Sin,1,0,1,1.0
Nautilus,Ezreal,1,0,1,1.0
Nautilus,Skarner,1,0,1,1.0
Neeko,Amumu,1,0,1,1.0
Ziggs,Lucian,1,0,1,1.0
Naafiri,Vladimir,1,0,1,1.0
Yone,Vex,4,0,4,1.0
Pyke,Kennen,1,0,1,1.0
Tahm Kench,Trundle,1,0,1,1.0
Caitlyn,Amumu,2,0,2,1.0
Jarvan IV,Malphite,1,0,1,1.0
Quinn,Maokai,2,0,2,1.0
Nilah,Tristana,1,0,1,1.0
Poppy,Ivern,1,0,1,1.0
Lissandra,Cassiopeia,1,0,1,1.0
Aatrox,Evelynn,3,0,3,1.0
Lissandra,Tryndamere,2,0,2,1.0
Ivern,Gwen,1,0,1,1.0
Bel'Veth,Karma,4,0,4,1.0
Corki,Renekton,1,0,1,1.0
Gnar,Wukong,1,0,1,1.0
Trundle,Leona,2,0,2,1.0
Mordekaiser,Zilean,1,0,1,1.0
Trundle,LeBlanc,1,0,1,1.0
Graves,Tahm Kench,3,0,3,1.0
Pyke,Rek'Sai,1,0,1,1.0
Lissandra,Maokai,2,0,2,1.0
Galio,Fizz,1,0,1,1.0
Lee Sin,Morgana,5,0,5,1.0
Singed,Ivern,3,0,3,1.0
Bel'Veth,Rek'Sai,1,0,1,1.0
Wukong,Annie,2,0,2,1.0
Zac,Elise,1,0,1,1.0
Elise,Xayah,1,0,1,1.0
Jayce,Wukong,1,0,1,1.0
Corki,Gangplank,1,0,1,1.0
Rumble,Veigar,3,0,3,1.0
Diana,Renekton,1,0,1,1.0
Anivia,Zilean,1,0,1,1.0
Zyra,Lee Sin,1,0,1,1.0
Veigar,Zeri,1,0,1,1.0
Soraka,Rakan,1,0,1,1.0
Warwick,Zac,5,0,5,1.0
Garen,Elise,1,0,1,1.0
Vi,Fizz,1,0,1,1.0
Rammus,Orianna,2,0,2,1.0
Tahm Kench,Bard,1,0,1,1.0
Udyr,Milio,1,0,1,1.0
Sion,Vex,1,0,1,1.0
Kalista,Gragas,1,0,1,1.0
Yorick,Maokai,2,0,2,1.0
Naafiri,Nidalee,2,0,2,1.0
Naafiri,Viktor,2,0,2,1.0
Tahm Kench,Diana,1,0,1,1.0
Yorick,Ashe,2,0,2,1.0
Yorick,Zac,2,0,2,1.0
Quinn,Rengar,1,0,1,1.0
Gangplank,Rumble,1,0,1,1.0
Ezreal,Tryndamere,2,0,2,1.0
Yorick,Graves,1,0,1,1.0
Tahm Kench,Caitlyn,2,0,2,1.0
Fizz,Twitch,1,0,1,1.0
Jarvan IV,Amumu,2,0,2,1.0
Jarvan IV,Caitlyn,7,0,7,1.0
Zyra,Zilean,1,0,1,1.0
Evelynn,Diana,2,0,2,1.0
Aurelion Sol,Tahm Kench,1,0,1,1.0
Kindred,Tahm Kench,1,0,1,1.0
Irelia,Fizz,1,0,1,1.0
Qiyana,Yuumi,2,0,2,1.0
Ahri,Nidalee,1,0,1,1.0
Garen,Rumble,2,0,2,1.0
Kai'Sa,Zed,1,0,1,1.0
Fiddlesticks,Gnar,1,0,1,1.0
Maokai,Ahri,4,0,4,1.0
Warwick,Janna,1,0,1,1.0
Pantheon,Nasus,1,0,1,1.0
Diana,Sett,2,0,2,1.0
Udyr,Wukong,1,0,1,1.0
Kindred,Fizz,6,0,6,1.0
Pantheon,Veigar,1,0,1,1.0
Evelynn,Milio,2,0,2,1.0
Sylas,Morgana,3,0,3,1.0
Elise,Veigar,1,0,1,1.0
Veigar,Lulu,2,0,2,1.0
Kassadin,Alistar,1,0,1,1.0
Kog'Maw,Morgana,1,0,1,1.0
Gragas,Morgana,1,0,1,1.0
Illaoi,Kog'Maw,2,0,2,1.0
