Champion1,Champion2,WinCount,LossCount,TotalCount,WinRate
Qiyana,Hwei,10,0,10,1.0
Aurelion Sol,Twitch,11,0,11,1.0
Malphite,Samira,13,1,14,0.9285714285714286
Viktor,Caitlyn,12,1,13,0.9230769230769231
Gangplank,Hwei,11,1,12,0.9166666666666666
Poppy,Aurelion Sol,11,1,12,0.9166666666666666
Cho'Gath,Camille,10,1,11,0.9090909090909091
Sejuani,Senna,10,1,11,0.9090909090909091
Volibear,Elise,10,1,11,0.9090909090909091
Brand,Akali,9,1,10,0.9
Varus,Lillia,9,1,10,0.9
Camille,Amumu,9,1,10,0.9
Wukong,Lucian,9,1,10,0.9
Fizz,Jinx,9,1,10,0.9
Renekton,Milio,9,1,10,0.9
Sett,Akshan,9,1,10,0.9
Dr. Mundo,Samira,9,1,10,0.9
Malphite,Sylas,9,1,10,0.9
Diana,Lux,9,1,10,0.9
Corki,LeBlanc,9,1,10,0.9
Kindred,Zac,16,2,18,0.8888888888888888
Dr. Mundo,Alistar,14,2,16,0.875
Kai'Sa,Lulu,20,3,23,0.8695652173913043
Jarvan IV,Orianna,13,2,15,0.8666666666666667
Twitch,Skarner,12,2,14,0.8571428571428571
Zyra,Thresh,12,2,14,0.8571428571428571
Pantheon,Karma,12,2,14,0.8571428571428571
Qiyana,Ezreal,18,3,21,0.8571428571428571
Yone,Lux,12,2,14,0.8571428571428571
Gangplank,Rell,22,4,26,0.8461538461538461
Lissandra,Jhin,16,3,19,0.8421052631578947
Wukong,Nidalee,16,3,19,0.8421052631578947
Wukong,Rell,16,3,19,0.8421052631578947
Dr. Mundo,Aphelios,20,4,24,0.8333333333333334
Pantheon,Nunu & Willump,10,2,12,0.8333333333333334
Vel'Koz,Jhin,10,2,12,0.8333333333333334
Hwei,Kennen,10,2,12,0.8333333333333334
Vi,Irelia,10,2,12,0.8333333333333334
Skarner,Renekton,10,2,12,0.8333333333333334
Jhin,Sona,10,2,12,0.8333333333333334
Gnar,Zilean,10,2,12,0.8333333333333334
Kennen,Jax,10,2,12,0.8333333333333334
Vex,Lulu,10,2,12,0.8333333333333334
Aurelion Sol,Milio,10,2,12,0.8333333333333334
Wukong,Lee Sin,10,2,12,0.8333333333333334
Tristana,Akali,20,4,24,0.8333333333333334
Pantheon,Xayah,10,2,12,0.8333333333333334
Tryndamere,Azir,10,2,12,0.8333333333333334
Jinx,Fiddlesticks,10,2,12,0.8333333333333334
Gwen,Maokai,10,2,12,0.8333333333333334
Qiyana,Nami,15,3,18,0.8333333333333334
Nidalee,Tahm Kench,10,2,12,0.8333333333333334
Zyra,Jinx,19,4,23,0.8260869565217391
Olaf,Jax,14,3,17,0.8235294117647058
Poppy,Braum,14,3,17,0.8235294117647058
Olaf,Lucian,23,5,28,0.8214285714285714
Mordekaiser,Smolder,9,2,11,0.8181818181818182
Mordekaiser,Master Yi,9,2,11,0.8181818181818182
Elise,Talon,9,2,11,0.8181818181818182
Aatrox,Tryndamere,9,2,11,0.8181818181818182
Galio,Swain,9,2,11,0.8181818181818182
Renekton,Shaco,18,4,22,0.8181818181818182
Yasuo,Swain,9,2,11,0.8181818181818182
Twisted Fate,Master Yi,9,2,11,0.8181818181818182
K'Sante,Jarvan IV,9,2,11,0.8181818181818182
Seraphine,Bard,9,2,11,0.8181818181818182
Mordekaiser,Skarner,9,2,11,0.8181818181818182
Jarvan IV,Akali,9,2,11,0.8181818181818182
Mordekaiser,Thresh,18,4,22,0.8181818181818182
Dr. Mundo,Xin Zhao,9,2,11,0.8181818181818182
Master Yi,Nunu & Willump,9,2,11,0.8181818181818182
Ezreal,Lux,9,2,11,0.8181818181818182
Galio,Twisted Fate,9,2,11,0.8181818181818182
Darius,Kha'Zix,13,3,16,0.8125
Fiora,Xin Zhao,13,3,16,0.8125
Viego,Elise,13,3,16,0.8125
Tryndamere,Karma,13,3,16,0.8125
Corki,Fiddlesticks,13,3,16,0.8125
Master Yi,Lux,17,4,21,0.8095238095238095
Fiddlesticks,Ezreal,21,5,26,0.8076923076923077
Master Yi,Hwei,65,16,81,0.8024691358024691
Irelia,Gragas,16,4,20,0.8
Tryndamere,Smolder,8,2,10,0.8
Syndra,Hwei,8,2,10,0.8
Tristana,Ekko,8,2,10,0.8
Smolder,Senna,8,2,10,0.8
Nunu & Willump,Renata Glasc,8,2,10,0.8
Akali,Pantheon,8,2,10,0.8
Akali,Nidalee,8,2,10,0.8
Bel'Veth,Ezreal,12,3,15,0.8
Jinx,Renata Glasc,8,2,10,0.8
Viego,Cho'Gath,8,2,10,0.8
Olaf,Poppy,8,2,10,0.8
Hecarim,Milio,12,3,15,0.8
Irelia,Vel'Koz,8,2,10,0.8
Vladimir,Draven,12,3,15,0.8
Master Yi,Skarner,16,4,20,0.8
Ivern,Camille,8,2,10,0.8
Dr. Mundo,Galio,12,3,15,0.8
Volibear,Blitzcrank,12,3,15,0.8
Fiddlesticks,Lux,12,3,15,0.8
Renekton,Smolder,20,5,25,0.8
Heimerdinger,Lulu,8,2,10,0.8
Talon,Nilah,8,2,10,0.8
Ryze,Senna,12,3,15,0.8
Lissandra,Skarner,16,4,20,0.8
Wukong,Samira,8,2,10,0.8
Camille,Zilean,8,2,10,0.8
Sejuani,Irelia,8,2,10,0.8
Illaoi,Kha'Zix,8,2,10,0.8
Urgot,Aurelion Sol,8,2,10,0.8
Rek'Sai,Karthus,8,2,10,0.8
Pantheon,Zac,12,3,15,0.8
Samira,Braum,8,2,10,0.8
Zeri,Milio,8,2,10,0.8
Akali,Gragas,8,2,10,0.8
Nidalee,Nunu & Willump,8,2,10,0.8
Smolder,Nidalee,8,2,10,0.8
Tahm Kench,Ashe,8,2,10,0.8
Sion,Viego,12,3,15,0.8
Graves,Sona,12,3,15,0.8
Tristana,Gwen,8,2,10,0.8
Elise,Aphelios,16,4,20,0.8
Nasus,Vi,8,2,10,0.8
Akali,Yone,8,2,10,0.8
Malphite,Yasuo,12,3,15,0.8
Varus,Pantheon,8,2,10,0.8
Cassiopeia,Zilean,8,2,10,0.8
Urgot,Rakan,27,7,34,0.7941176470588235
Camille,Janna,15,4,19,0.7894736842105263
Ashe,Gragas,15,4,19,0.7894736842105263
Orianna,Sivir,15,4,19,0.7894736842105263
Malphite,Blitzcrank,15,4,19,0.7894736842105263
Gnar,Camille,26,7,33,0.7878787878787878
Lillia,Zilean,11,3,14,0.7857142857142857
Aurelion Sol,Sona,11,3,14,0.7857142857142857
Shen,Senna,11,3,14,0.7857142857142857
Olaf,Nami,11,3,14,0.7857142857142857
Poppy,Senna,11,3,14,0.7857142857142857
Vayne,Yone,11,3,14,0.7857142857142857
Tryndamere,Hecarim,11,3,14,0.7857142857142857
Smolder,Kai'Sa,11,3,14,0.7857142857142857
Shen,Qiyana,11,3,14,0.7857142857142857
Urgot,Bard,11,3,14,0.7857142857142857
Jayce,Aatrox,11,3,14,0.7857142857142857
Vi,Sylas,11,3,14,0.7857142857142857
Vayne,Jhin,22,6,28,0.7857142857142857
Dr. Mundo,Zac,11,3,14,0.7857142857142857
Caitlyn,Heimerdinger,11,3,14,0.7857142857142857
Maokai,Nautilus,11,3,14,0.7857142857142857
Jax,Cho'Gath,18,5,23,0.782608695652174
Zac,Samira,25,7,32,0.78125
Tryndamere,Aurelion Sol,25,7,32,0.78125
Wukong,Corki,21,6,27,0.7777777777777778
Sejuani,Master Yi,14,4,18,0.7777777777777778
Katarina,Senna,14,4,18,0.7777777777777778
Aphelios,Neeko,14,4,18,0.7777777777777778
Dr. Mundo,Twisted Fate,14,4,18,0.7777777777777778
Renekton,Vel'Koz,21,6,27,0.7777777777777778
Malphite,Bard,14,4,18,0.7777777777777778
Kayn,Alistar,14,4,18,0.7777777777777778
Galio,Bard,14,4,18,0.7777777777777778
Orianna,Karma,17,5,22,0.7727272727272727
Kha'Zix,Karma,17,5,22,0.7727272727272727
Kai'Sa,Twisted Fate,17,5,22,0.7727272727272727
Fiddlesticks,Blitzcrank,27,8,35,0.7714285714285715
Sivir,Skarner,10,3,13,0.7692307692307693
Aatrox,Annie,10,3,13,0.7692307692307693
Katarina,Xayah,10,3,13,0.7692307692307693
Galio,Nilah,10,3,13,0.7692307692307693
Master Yi,Leona,20,6,26,0.7692307692307693
Kled,Ahri,10,3,13,0.7692307692307693
Urgot,Caitlyn,10,3,13,0.7692307692307693
Orianna,Rumble,10,3,13,0.7692307692307693
Nocturne,Katarina,10,3,13,0.7692307692307693
Akali,Hecarim,10,3,13,0.7692307692307693
Azir,Nilah,10,3,13,0.7692307692307693
Illaoi,Aurelion Sol,10,3,13,0.7692307692307693
Irelia,Fiddlesticks,10,3,13,0.7692307692307693
Vladimir,Senna,10,3,13,0.7692307692307693
Nasus,Smolder,10,3,13,0.7692307692307693
Tristana,Yasuo,10,3,13,0.7692307692307693
