user_ID,user_ID_tag,result_value,game_time,our_team,our_team_object,our_team_total_kill,our_team_total_gold,enemy_team,enemy_team_object,enemy_team_total_kill,enemy_team_total_gold,game_players
kazezz,#12345,1,1595,"[[0, 'Skarner', 'Flash', 'Teleport', 6, 5, 15, 22731, 24019, 5, 127], [1, 'Vi', 'Flash', 'Smite', 11, 3, 15, 28850, 41062, 9, 186], [2, 'Taliyah', 'Flash', 'Teleport', 1, 7, 13, 20182, 22307, 5, 177], [3, 'Samira', 'Barrier', 'Flash', 23, 7, 8, 37308, 25803, 0, 177], [4, 'Pyke', 'Ignite', 'Flash', 7, 9, 17, 14286, 23372, 8, 37]]","[1, 1, 1, 6, 7, 1]",48,63627,"[[0, 'Aatrox', 'Teleport', 'Flash', 0, 10, 7, 20849, 38546, 1, 171], [1, 'Viego', 'Flash', 'Smite', 6, 9, 5, 11661, 31785, 9, 163], [2, 'LeBlanc', 'Flash', 'Teleport', 5, 8, 8, 21116, 24360, 0, 163], [3, 'Lucian', 'Flash', 'Barrier', 13, 6, 8, 29306, 20437, 0, 192], [4, 'Hwei', 'Heal', 'Flash', 7, 15, 14, 26884, 27592, 10, 32]]","[0, 2, 0, 0, 3, 0]",31,53981,"['mxx', '银河有迹可寻', 'kazezz', 'winable', '봄방학기간', 'God Thunder', '什么时候能得到别人认同', 'midqvq9', 'zenmewan', 'Minit']"
kazezz,#12345,1,1172,"[[0, 'Jayce', 'Flash', 'Teleport', 8, 4, 3, 13599, 10989, 0, 191], [1, 'Taliyah', 'Flash', 'Smite', 6, 5, 11, 17729, 18666, 2, 173], [2, 'Irelia', 'Teleport', 'Flash', 11, 0, 6, 16377, 16643, 2, 197], [3, ""Kai'Sa"", 'Flash', 'Cleanse', 10, 4, 12, 20168, 14050, 0, 129], [4, 'Nautilus', 'Ignite', 'Flash', 2, 7, 13, 4912, 12632, 7, 23]]","[0, 2, 1, 0, 6, 0]",37,49807,"[[0, 'Cassiopeia', 'Teleport', 'Flash', 0, 6, 2, 10460, 15293, 3, 167], [1, 'Lee Sin', 'Smite', 'Flash', 4, 6, 4, 9770, 21253, 2, 76], [2, 'Pantheon', 'Ignite', 'Flash', 7, 9, 4, 13871, 19054, 2, 115], [3, 'Aphelios', 'Barrier', 'Flash', 7, 9, 5, 15366, 17609, 2, 153], [4, 'Braum', 'Heal', 'Flash', 2, 7, 12, 7820, 18966, 7, 21]]","[0, 0, 0, 6, 2, 0]",20,37662,"['kazezz', 'aowamzosq', '이세계 최강 유미', 'DRX 현빈', 'MeseZZ', 'aierlanxiaozhu', 'kfo', '프리덤 에슬레틱', '돼지야 많이 먹어', '浩浩ouo']"
kazezz,#12345,0,1561,"[[0, 'Jax', 'Teleport', 'Flash', 4, 3, 2, 12754, 26081, 3, 188], [1, 'Nunu & Willump', 'Smite', 'Flash', 5, 5, 8, 14395, 37973, 5, 130], [2, 'Taliyah', 'Flash', 'Teleport', 8, 7, 3, 24962, 22987, 3, 213], [3, 'Varus', 'Flash', 'Heal', 0, 4, 3, 10589, 10527, 2, 189], [4, 'Nautilus', 'Flash', 'Ignite', 1, 10, 7, 6199, 21412, 5, 22]]","[0, 1, 0, 3, 6, 0]",18,48466,"[[0, 'Jayce', 'Teleport', 'Flash', 7, 7, 5, 23702, 21300, 1, 216], [1, 'Sejuani', 'Flash', 'Smite', 4, 3, 20, 14629, 32097, 9, 159], [2, 'Hwei', 'Flash', 'Teleport', 6, 3, 13, 29937, 16070, 5, 205], [3, 'Jinx', 'Cleanse', 'Flash', 11, 2, 6, 22566, 14514, 3, 227], [4, 'Braum', 'Ignite', 'Flash', 1, 3, 17, 6853, 22192, 7, 17]]","[1, 2, 1, 0, 11, 2]",29,57005,"['Mei Nagano', 'Dec 18', 'kazezz', '먹고자고게임해', 'Chen guo xi', '저쩔버섯', '永安王蕭楚河', 'mia', '이노링', '짤짤이']"
kazezz,#12345,0,1876,"[[0, 'Renekton', 'Teleport', 'Flash', 5, 5, 2, 20305, 43456, 3, 270], [1, 'Ivern', 'Smite', 'Flash', 3, 6, 12, 11346, 16854, 6, 131], [2, 'Tristana', 'Flash', 'Teleport', 7, 7, 4, 29373, 23557, 4, 327], [3, ""Kai'Sa"", 'Cleanse', 'Flash', 7, 5, 5, 24741, 16432, 4, 299], [4, 'Nautilus', 'Flash', 'Ignite', 1, 9, 11, 10202, 24436, 13, 23]]","[0, 1, 0, 0, 6, 0]",23,64311,"[[0, 'Rumble', 'Flash', 'Ignite', 7, 3, 5, 25813, 15919, 3, 254], [1, 'Maokai', 'Smite', 'Flash', 5, 3, 18, 13063, 35130, 5, 169], [2, 'Yone', 'Teleport', 'Flash', 3, 8, 11, 22406, 35439, 6, 216], [3, 'Jinx', 'Flash', 'Heal', 14, 5, 8, 37866, 18496, 5, 304], [4, 'Alistar', 'Ignite', 'Flash', 3, 4, 22, 6569, 25143, 12, 17]]","[2, 3, 1, 5, 11, 3]",32,68400,"['God Thunder', '청포도육포', '小哭包', 'Samver', 'kazezz', 'cosmos', 'JustLikeThatKR', 'Silver 1ining', 'wfzydg', 'KDF Quantum']"
kazezz,#12345,1,1569,"[[0, 'Riven', 'Flash', 'Teleport', 3, 5, 4, 8274, 22458, 0, 170], [1, 'Nidalee', 'Flash', 'Smite', 10, 3, 7, 18741, 29758, 3, 211], [2, 'Lee Sin', 'Flash', 'Teleport', 5, 7, 8, 18978, 32272, 2, 195], [3, ""Kai'Sa"", 'Flash', 'Cleanse', 16, 3, 9, 38437, 18903, 2, 221], [4, 'Nautilus', 'Flash', 'Ignite', 3, 2, 20, 11618, 19232, 17, 26]]","[1, 2, 1, 3, 10, 2]",37,59131,"[[0, 'Skarner', 'Teleport', 'Flash', 3, 5, 7, 20811, 24994, 4, 182], [1, 'Taliyah', 'Flash', 'Smite', 2, 9, 9, 17581, 24352, 7, 148], [2, 'Jayce', 'Teleport', 'Flash', 8, 4, 5, 31314, 16962, 1, 219], [3, 'Jinx', 'Barrier', 'Flash', 7, 8, 2, 13103, 22415, 1, 216], [4, 'Rell', 'Ignite', 'Flash', 0, 11, 10, 5878, 25455, 15, 21]]","[0, 1, 0, 0, 4, 0]",20,51977,"['AloisNL', 'ngu ngon', 'kazezz', 'DRX 현빈', '재훈이의모함', '사람위에사람없고', '小哭包', '흐물텅', 'スパークル', 'DRX 베르']"
kazezz,#12345,0,1444,"[[0, 'Rumble', 'Ignite', 'Flash', 2, 5, 1, 14721, 24660, 2, 191], [1, 'Nidalee', 'Smite', 'Flash', 4, 5, 4, 11904, 31017, 5, 150], [2, 'Yone', 'Flash', 'Teleport', 2, 10, 3, 16222, 31933, 0, 160], [3, 'Aphelios', 'Heal', 'Flash', 5, 6, 2, 11239, 17857, 1, 193], [4, 'Rell', 'Ignite', 'Flash', 1, 7, 8, 5546, 18274, 9, 21]]","[0, 2, 0, 2, 2, 0]",14,41350,"[[0, 'Jayce', 'Teleport', 'Flash', 3, 3, 13, 22031, 16680, 2, 191], [1, 'Pantheon', 'Flash', 'Smite', 14, 1, 10, 23786, 21390, 3, 151], [2, 'Aurelion Sol', 'Teleport', 'Flash', 9, 5, 11, 29483, 17868, 4, 177], [3, 'Jinx', 'Cleanse', 'Flash', 7, 2, 5, 14827, 10975, 4, 173], [4, 'Rakan', 'Ignite', 'Flash', 0, 3, 27, 6314, 17079, 10, 30]]","[1, 1, 1, 4, 9, 2]",33,54850,"['positive boy', 'Xunxunmimi', 'kazezz', 'OneZang', '광동귀환', 'january 10', 'A3nh', 'Chinata', '낭 패', '不要骂人']"
kazezz,#12345,1,1447,"[[0, 'Skarner', 'Teleport', 'Flash', 4, 1, 6, 21895, 17123, 1, 193], [1, 'Nidalee', 'Smite', 'Flash', 7, 2, 9, 16698, 29376, 4, 189], [2, 'Yone', 'Flash', 'Teleport', 4, 3, 9, 17966, 27229, 1, 232], [3, 'Jinx', 'Flash', 'Ghost', 6, 7, 7, 11867, 17900, 0, 143], [4, 'Thresh', 'Flash', 'Ignite', 0, 9, 13, 6046, 22137, 8, 31]]","[1, 1, 0, 6, 4, 0]",21,49921,"[[0, 'Malphite', 'Teleport', 'Flash', 0, 3, 4, 14958, 24868, 2, 170], [1, 'Pantheon', 'Flash', 'Smite', 4, 4, 10, 14597, 21975, 3, 111], [2, 'Hwei', 'Flash', 'Teleport', 6, 7, 3, 19843, 17940, 3, 167], [3, ""Kai'Sa"", 'Flash', 'Cleanse', 11, 2, 5, 25237, 12429, 1, 204], [4, 'Blitzcrank', 'Ignite', 'Flash', 1, 5, 13, 6466, 12965, 16, 24]]","[0, 2, 1, 0, 4, 0]",22,43582,"['NS Carim', '손주녁', 'kazezz', '별 수호자 조원영', '도자기', 'Znlm', 'A3nh', 'Reche7', 'DRX Teddy', '光而不耀 静水流深']"
kazezz,#12345,0,1409,"[[0, 'Jayce', 'Flash', 'Teleport', 1, 7, 1, 13338, 14789, 0, 178], [1, 'Lillia', 'Flash', 'Smite', 0, 7, 4, 13785, 33541, 4, 148], [2, 'Lee Sin', 'Flash', 'Teleport', 4, 9, 0, 19381, 29695, 4, 160], [3, 'Lucian', 'Flash', 'Barrier', 4, 6, 1, 19413, 19934, 1, 183], [4, 'Nami', 'Heal', 'Flash', 0, 6, 5, 8609, 16724, 9, 22]]","[0, 0, 0, 6, 2, 0]",9,39993,"[[0, 'Skarner', 'Teleport', 'Flash', 12, 0, 10, 30635, 23903, 3, 175], [1, 'Hecarim', 'Smite', 'Ghost', 10, 2, 8, 17784, 36986, 4, 173], [2, 'Akali', 'Teleport', 'Flash', 7, 3, 4, 19490, 21306, 2, 199], [3, 'Jhin', 'Heal', 'Flash', 3, 1, 16, 13362, 11399, 1, 153], [4, 'Rakan', 'Ignite', 'Flash', 3, 3, 19, 8377, 20548, 7, 42]]","[1, 3, 1, 0, 9, 1]",35,52959,"['SNSlingyun', 'hold me', 'kazezz', '열기구', 'KDF Quantum', 'DRX 개구리', '이 차가 식기전에', '신노스케', 'xiayoujie', 'No longer love']"
kazezz,#12345,1,1626,"[[0, ""K'Sante"", 'Teleport', 'Ghost', 2, 6, 10, 18636, 30727, 5, 175], [1, 'Lillia', 'Smite', 'Flash', 6, 3, 11, 23570, 33363, 8, 223], [2, 'Lee Sin', 'Flash', 'Teleport', 11, 4, 5, 26810, 26992, 4, 197], [3, 'Ashe', 'Heal', 'Flash', 7, 4, 8, 21721, 12555, 2, 250], [4, 'Nautilus', 'Ignite', 'Flash', 1, 4, 11, 5932, 18094, 12, 33]]","[1, 4, 0, 0, 10, 1]",27,59839,"[[0, 'Camille', 'Flash', 'Teleport', 7, 3, 7, 29564, 37735, 3, 220], [1, 'Nidalee', 'Smite', 'Flash', 3, 5, 11, 14395, 33083, 4, 166], [2, 'Riven', 'Flash', 'Teleport', 4, 5, 4, 17037, 23323, 0, 196], [3, 'Jinx', 'Flash', 'Cleanse', 6, 6, 5, 18833, 17644, 0, 189], [4, 'Braum', 'Ignite', 'Flash', 1, 8, 11, 5470, 20946, 12, 20]]","[0, 0, 1, 6, 8, 2]",21,53707,"['cikcik', 'Radiohead', 'kazezz', 'Ciabatta', 'KDF Quantum', '시비걸면지상렬', 'Herres', 'AloisNL', 'DRX 현빈', 'DRX 베르']"
kazezz,#12345,0,1179,"[[0, ""K'Sante"", 'Teleport', 'Flash', 2, 7, 2, 10898, 23392, 0, 135], [1, 'Nunu & Willump', 'Smite', 'Flash', 2, 3, 6, 7945, 25691, 4, 125], [2, 'Tristana', 'Flash', 'Teleport', 1, 3, 1, 8886, 12716, 1, 166], [3, 'Aphelios', 'Cleanse', 'Flash', 4, 5, 2, 13371, 12943, 2, 154], [4, 'Nautilus', 'Ignite', 'Flash', 2, 4, 5, 5563, 10327, 3, 27]]","[0, 0, 1, 0, 1, 0]",11,34071,"[[0, 'Skarner', 'Teleport', 'Flash', 4, 2, 7, 20711, 20515, 4, 149], [1, 'Lillia', 'Smite', 'Flash', 8, 0, 5, 14274, 23722, 5, 157], [2, 'Qiyana', 'Teleport', 'Flash', 8, 1, 3, 13214, 9391, 1, 150], [3, 'Jinx', 'Barrier', 'Flash', 2, 4, 8, 12161, 10368, 0, 116], [4, 'Braum', 'Exhaust', 'Flash', 0, 4, 11, 4581, 12016, 7, 20]]","[0, 2, 0, 6, 6, 1]",22,42244,"['スパークル', '짱 구', 'kazezz', 'yayh', 'T1 balloon', '학고참', '청포도육포', 'Xbm', '이상호93', 'KDF Quantum']"
