,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
0,1,Jinx,"4,870,944",2.44:1,51.89%,21.78%,16.38%,197.88,"12,109"
1,2,Caitlyn,"4,840,267",2.27:1,50.79%,21.64%,20.05%,192.5,"11,053"
2,3,Jhin,"4,561,770",2.92:1,51.96%,20.4%,7.45%,190.72,"11,877"
3,4,Ashe,"2,772,253",2.45:1,51.3%,12.39%,6.78%,180.58,"11,993"
4,5,Lucian,"2,769,164",2.36:1,49.6%,12.38%,4.94%,202.3,"12,880"
5,6,Kai'Sa,"2,594,206",2.41:1,48.28%,11.6%,1.65%,199.81,"12,992"
6,7,Miss Fortune,"2,433,804",2.37:1,50.99%,10.88%,3.72%,185.03,"13,135"
7,8,Ezreal,"2,275,020",2.36:1,46.63%,10.17%,3.73%,188.27,"12,149"
8,9,Samira,"1,809,857",2.2:1,50.15%,8.09%,20.69%,185.13,"13,347"
9,10,Varus,"1,468,945",2.34:1,48.05%,6.57%,1.15%,190.86,"12,529"
10,11,Draven,"1,379,536",2.05:1,48.05%,6.17%,20.19%,188.8,"13,707"
11,12,Tristana,"1,364,755",2.28:1,49.52%,6.1%,3.94%,185.39,"13,095"
12,13,Vayne,"1,344,525",2.11:1,49.94%,6.01%,11.45%,179.86,"12,535"
13,14,Twitch,"1,228,021",2.42:1,50.7%,5.49%,7.74%,176.21,"12,926"
14,15,Aphelios,"1,144,059",1.98:1,47.65%,5.12%,1.1%,195.01,"12,197"
15,16,Smolder,"899,412",2.33:1,47.52%,4.02%,3.81%,211.8,"12,555"
16,17,Zeri,"799,791",2.34:1,48.05%,3.58%,1.13%,217.22,"13,081"
17,18,Kog'Maw,"731,719",2.25:1,52.32%,3.27%,1.6%,188.11,"13,034"
18,19,Xayah,"701,996",2.27:1,48.43%,3.14%,0.54%,203,"12,498"
19,20,Corki,"677,820",2.49:1,49.01%,3.03%,3.74%,198.9,"12,837"
20,21,Sivir,"674,412",2.51:1,50.15%,3.02%,0.54%,219.45,"12,801"
21,22,Kalista,"647,649",2.22:1,47.42%,2.9%,1.24%,188.42,"12,794"
22,23,Nilah,"329,281",2.07:1,50.46%,1.47%,3.39%,187.87,"13,008"
23,24,Yasuo,"320,082",1.82:1,49.16%,1.43%,24.59%,197.06,"12,768"
24,25,Ziggs,"194,813",2.41:1,50.77%,0.87%,0.32%,192.43,"12,146"
25,26,Senna,"161,056",2.72:1,47.45%,0.72%,3.39%,143.31,"11,235"
26,27,Seraphine,"133,760",3.09:1,52.92%,0.6%,1.46%,177.16,"11,435"
27,28,Brand,"132,865",2.24:1,51.36%,0.59%,15.54%,175.77,"11,740"
28,29,Veigar,"132,455",2.32:1,51.93%,0.59%,4.36%,190.98,"13,039"
29,30,Karthus,"102,814",2.24:1,52.87%,0.46%,16.06%,195.57,"13,219"
30,31,Swain,"68,240",2.85:1,53.26%,0.31%,1.86%,163.59,"11,708"
31,32,Lux,"67,048",2.81:1,48.39%,0.3%,13.94%,160.12,"11,561"
32,33,Hwei,"61,453",2.59:1,49.93%,0.27%,12.48%,180.7,"11,874"
33,34,Yone,"47,886",1.83:1,46.93%,0.21%,14.45%,182.82,"12,466"
34,35,Tahm Kench,"47,183",2.89:1,54.31%,0.21%,2.01%,148.97,"11,135"
35,36,Twisted Fate,"46,025",2.04:1,48.03%,0.21%,1.9%,172.57,"12,730"
36,37,Aurelion Sol,"42,655",2.49:1,48.4%,0.19%,6.09%,190.45,"12,356"
37,38,Teemo,"39,060",1.95:1,46.88%,0.17%,10.25%,166.01,"11,877"
38,39,Akshan,"33,257",2.31:1,50.67%,0.15%,6.89%,170.4,"12,930"
39,40,Heimerdinger,"33,251",2.07:1,50.85%,0.15%,1.7%,169.48,"11,692"
40,41,Cassiopeia,"30,635",2.33:1,51.42%,0.14%,1.82%,186.38,"12,173"
41,42,Irelia,"28,386",2.07:1,51.94%,0.13%,11.11%,213.57,"13,664"
42,43,Xerath,"26,418",2.95:1,48.07%,0.12%,7.8%,163.72,"11,646"
43,44,Malzahar,"21,706",2.27:1,49.27%,0.1%,7.58%,210.73,"12,688"
44,45,Quinn,"21,264",2.11:1,49.09%,0.1%,1.08%,164.84,"12,481"
45,46,Vel'Koz,"18,786",2.54:1,48.77%,0.08%,0.69%,166.6,"11,777"
46,47,Katarina,"18,425",2.48:1,52.26%,0.08%,7.24%,161.18,"13,272"
47,48,Syndra,"17,762",2.34:1,47.8%,0.08%,1.99%,188.89,"12,589"
48,49,Pantheon,"16,638",2.06:1,42.12%,0.07%,2.11%,122.21,"10,624"
49,50,Nautilus,"15,390",2.47:1,51.4%,0.07%,16.15%,137.84,"9,715"
50,51,Sylas,"15,133",2.12:1,50.57%,0.07%,11.91%,145.14,"12,561"
51,52,Ahri,"13,797",2.47:1,49.71%,0.06%,9.47%,171.9,"11,810"
52,53,Cho'Gath,"13,754",2.35:1,47.58%,0.06%,0.7%,172.18,"11,915"
53,54,Morgana,"13,109",2.56:1,43.63%,0.06%,24.11%,133.31,"10,518"
54,55,Kayle,"12,101",2.15:1,48.25%,0.05%,1.86%,199.73,"12,650"
55,56,Neeko,"11,834",2.19:1,44.33%,0.05%,1.79%,146.65,"10,967"
56,57,Mordekaiser,"10,805",2.3:1,51.79%,0.05%,17.83%,166.63,"12,835"
57,58,Kindred,"10,763",2.04:1,45.8%,0.05%,1.9%,165.87,"12,125"
58,59,Taliyah,"10,125",2.33:1,50.47%,0.05%,3.73%,190.48,"12,654"
59,60,Ornn,"10,078",2.49:1,50.49%,0.05%,0.52%,166.36,"10,901"
60,61,Tryndamere,"9,989",1.89:1,47.52%,0.04%,3.97%,187.2,"12,118"
61,62,Zyra,"9,926",2.23:1,47.1%,0.04%,7.36%,154.03,"10,880"
62,63,Vladimir,"9,692",2.6:1,52.37%,0.04%,2.87%,192.98,"12,700"
63,64,Akali,"9,532",2.31:1,47.92%,0.04%,19.64%,160.4,"12,628"
64,65,Darius,"9,453",2:1,45.2%,0.04%,22.76%,158.34,"11,607"
65,66,Zed,"9,331",2.26:1,46.27%,0.04%,22.78%,165.02,"12,503"
66,67,Sett,"9,180",2.07:1,53.59%,0.04%,3.59%,170.47,"13,214"
67,68,Sion,"8,601",1.77:1,49.8%,0.04%,1.08%,189.93,"12,942"
