,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
0,1,Lee Sin,"3,432,530",2.57:1,47.6%,15.35%,13.71%,157.05,"11,644"
1,2,Viego,"2,880,372",2.39:1,50.81%,12.88%,8.01%,172.39,"12,082"
2,3,Kayn,"1,607,769",2.21:1,49.68%,7.19%,5.9%,176.88,"12,406"
3,4,Nocturne,"1,578,167",2.55:1,52.07%,7.06%,8.48%,179.85,"12,324"
4,5,Master Yi,"1,520,691",1.89:1,48.75%,6.8%,16.06%,174.47,"12,477"
5,6,Shaco,"1,515,248",2.66:1,50.13%,6.77%,32.52%,167.8,"12,344"
6,7,Diana,"1,424,401",2.14:1,50.44%,6.37%,4.43%,194.62,"12,697"
7,8,Kha'Zix,"1,314,277",2.41:1,49.38%,5.88%,3.25%,173.19,"12,751"
8,9,Vi,"1,281,416",2.36:1,50.3%,5.73%,1.78%,164.5,"11,580"
9,10,Lillia,"1,264,447",2.67:1,51.75%,5.65%,5.41%,188.94,"12,198"
10,11,Warwick,"1,258,785",2.21:1,51.42%,5.63%,4.46%,154.72,"11,953"
11,12,Amumu,"1,249,248",2.62:1,52.68%,5.59%,1.95%,163.09,"11,314"
12,13,Karthus,"1,243,542",2.41:1,51.05%,5.56%,16.06%,208.7,"13,209"
13,14,Xin Zhao,"1,194,103",2.37:1,51.34%,5.34%,1.27%,161.98,"11,498"
14,15,Graves,"1,082,280",2.42:1,49.2%,4.84%,2.3%,195.56,"12,731"
15,16,Briar,"975,916",2.1:1,51.27%,4.36%,12.62%,164.58,"12,657"
16,17,Nidalee,"907,146",2.75:1,48.84%,4.06%,2.37%,162.17,"11,572"
17,18,Jax,"888,595",2.15:1,50.73%,3.97%,10.19%,166.88,"12,059"
18,19,Jarvan IV,"878,872",3.25:1,50.99%,3.93%,0.83%,157.14,"11,568"
19,20,Kindred,"840,939",2.14:1,49.62%,3.76%,1.9%,175.1,"12,426"
20,21,Volibear,"827,712",2.49:1,51.37%,3.7%,4.35%,159.44,"11,339"
21,22,Ekko,"823,139",2.51:1,50.3%,3.68%,1.89%,175.65,"12,537"
22,23,Brand,"804,948",2.26:1,51.05%,3.6%,15.54%,184.37,"12,152"
23,24,Sejuani,"745,815",3.14:1,50.53%,3.33%,0.4%,159.22,"10,983"
24,25,Zac,"731,734",3.39:1,50.28%,3.27%,2.79%,150.81,"10,810"
25,26,Taliyah,"725,296",2.48:1,50.38%,3.24%,3.73%,190.77,"12,350"
26,27,Skarner,"707,255",2.97:1,50.27%,3.16%,24.13%,153.59,"10,882"
27,28,Rammus,"686,180",3.03:1,52.51%,3.07%,8.14%,147.28,"10,795"
28,29,Evelynn,"661,939",2.65:1,49.03%,2.96%,5.36%,155.71,"12,004"
29,30,Bel'Veth,"617,988",2.26:1,50.36%,2.76%,5.01%,180.02,"12,109"
30,31,Sylas,"615,782",2.14:1,47.01%,2.75%,11.91%,158.91,"11,967"
31,32,Hecarim,"576,925",2.51:1,48.28%,2.58%,1.33%,189.67,"12,218"
32,33,Fiddlesticks,"563,892",2.53:1,50.77%,2.52%,1.16%,165.86,"11,862"
33,34,Rek'Sai,"521,941",2.84:1,51.25%,2.33%,2.37%,155.62,"11,523"
34,35,Nunu & Willump,"510,082",2.58:1,49.52%,2.28%,0.44%,150.96,"10,915"
35,36,Gragas,"505,425",2.54:1,49.04%,2.26%,1.79%,162.3,"11,647"
36,37,Udyr,"492,094",2.37:1,50.21%,2.2%,1.06%,181.71,"11,880"
37,38,Rengar,"486,003",2.02:1,46.11%,2.17%,2.58%,182.3,"12,763"
38,39,Shyvana,"475,752",2.3:1,51.03%,2.13%,0.45%,204.25,"12,681"
