,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
0,1,Ahri,"2,505,776",2.51:1,50.07%,11.2%,9.47%,180.78,"11,404"
1,2,Yasuo,"2,186,592",1.63:1,48.13%,9.78%,24.59%,202.03,"12,446"
2,3,Akali,"1,992,430",2.34:1,50.14%,8.91%,19.64%,162.55,"11,777"
3,4,Sylas,"1,674,658",2.05:1,50.76%,7.49%,11.91%,148.76,"11,455"
4,5,Yone,"1,602,484",1.73:1,48.19%,7.16%,14.45%,192.87,"12,274"
5,6,Zed,"1,516,954",2.2:1,48.34%,6.78%,22.78%,178.35,"12,545"
6,7,Hwei,"1,503,214",2.41:1,49.49%,6.72%,12.48%,188.86,"11,732"
7,8,Veigar,"1,458,336",2.25:1,51.79%,6.52%,4.36%,192.7,"12,838"
8,9,Katarina,"1,273,416",2.21:1,49.1%,5.69%,7.24%,163.21,"12,421"
9,10,Lux,"1,252,487",2.86:1,51.54%,5.6%,13.94%,180.82,"11,883"
10,11,Aurelion Sol,"1,195,083",2.46:1,50.41%,5.34%,6.09%,199.12,"12,472"
11,12,Malzahar,"1,186,615",2.26:1,51.4%,5.31%,7.58%,217.17,"12,605"
12,13,LeBlanc,"1,035,531",2.76:1,48.28%,4.63%,8.68%,164,"11,760"
13,14,Fizz,"988,532",2.39:1,50.6%,4.42%,10.06%,164.42,"12,618"
14,15,Brand,"976,453",2.12:1,52.8%,4.37%,15.54%,180.47,"11,731"
15,16,Vex,"953,020",2.44:1,51.76%,4.26%,4.04%,174.21,"11,773"
16,17,Twisted Fate,"952,511",2.32:1,50.92%,4.26%,1.9%,179.92,"12,374"
17,18,Tristana,"872,333",1.96:1,49.39%,3.9%,3.94%,201.82,"12,859"
18,19,Irelia,"846,609",1.82:1,51.3%,3.79%,11.11%,217.65,"13,181"
19,20,Syndra,"834,539",2.3:1,50.19%,3.73%,1.99%,195.4,"12,615"
20,21,Orianna,"789,408",2.61:1,48.15%,3.53%,0.77%,190.45,"11,449"
21,22,Diana,"776,371",2.07:1,51.13%,3.47%,4.43%,177.04,"12,513"
22,23,Viktor,"697,088",2.27:1,51.47%,3.12%,0.98%,197.21,"12,305"
23,24,Xerath,"666,820",3.1:1,51.71%,2.98%,7.8%,182.83,"12,176"
24,25,Corki,"647,680",2:1,46.06%,2.9%,3.74%,202.25,"12,934"
25,26,Galio,"644,905",2.8:1,51.86%,2.88%,1.28%,164.3,"10,716"
26,27,Akshan,"606,777",2.26:1,51.88%,2.71%,6.89%,180.17,"12,905"
27,28,Taliyah,"592,585",2.17:1,49.73%,2.65%,3.73%,194.4,"11,977"
28,29,Azir,"577,128",1.92:1,45.63%,2.58%,0.65%,198.53,"11,781"
29,30,Malphite,"549,724",2.42:1,50.46%,2.46%,10.05%,157.98,"11,787"
30,31,Ekko,"546,875",2.22:1,50.91%,2.45%,1.89%,175.07,"12,366"
31,32,Kassadin,"476,440",2.38:1,50.1%,2.13%,3.44%,180.01,"12,496"
32,33,Vladimir,"469,867",2.25:1,49.35%,2.1%,2.87%,190.17,"11,830"
33,34,Lissandra,"465,606",2.3:1,49.15%,2.08%,1.06%,183.26,"11,434"
34,35,Zoe,"403,764",2.56:1,48.88%,1.81%,0.84%,158.26,"11,405"
35,36,Annie,"402,233",2.35:1,51.39%,1.8%,0.72%,163.5,"11,536"
36,37,Talon,"402,105",2.1:1,48.3%,1.8%,0.65%,181.1,"12,411"
37,38,Cassiopeia,"385,410",2.08:1,51.64%,1.72%,1.82%,190.68,"12,010"
38,39,Anivia,"384,359",2.78:1,52.02%,1.72%,1.34%,187.4,"11,621"
39,40,Qiyana,"365,896",2.02:1,47.67%,1.64%,0.49%,171.63,"12,260"
40,41,Ryze,"331,433",2.22:1,49.57%,1.48%,0.24%,204.1,"12,095"
