,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
0,1,Lux,"3,074,691",2.45:1,50.27%,13.75%,13.94%,59.3,"9,672"
1,2,Thresh,"2,564,759",2.65:1,50.42%,11.47%,4.54%,31.89,"8,263"
2,3,Nautilus,"2,509,243",2.44:1,49.77%,11.22%,16.15%,31.49,"8,229"
3,4,Nami,"1,824,205",3.29:1,51.23%,8.16%,0.74%,24.94,"8,238"
4,5,Morgana,"1,795,655",2.5:1,50.36%,8.03%,24.11%,48.83,"9,310"
5,6,Leona,"1,777,353",2.56:1,51.57%,7.95%,6.47%,31.81,"8,378"
6,7,Lulu,"1,766,851",3.19:1,49.89%,7.9%,4.57%,27.52,"8,042"
7,8,Blitzcrank,"1,727,722",2.53:1,51.1%,7.72%,30.91%,28.01,"8,135"
8,9,Pyke,"1,541,331",2.13:1,49.71%,6.89%,16.26%,35.54,"9,867"
9,10,Senna,"1,472,026",2.57:1,49.14%,6.58%,3.39%,48.43,"10,091"
10,11,Zyra,"1,344,678",2.22:1,51.89%,6.01%,7.36%,56.77,"9,503"
11,12,Seraphine,"1,266,917",2.71:1,50.2%,5.66%,1.46%,44.96,"9,031"
12,13,Brand,"1,252,681",1.84:1,50.55%,5.6%,15.54%,59.39,"10,046"
13,14,Milio,"1,096,308",3.73:1,51.34%,4.9%,2.08%,26.33,"7,798"
14,15,Karma,"1,031,757",2.47:1,47.93%,4.61%,2.67%,41.62,"8,672"
15,16,Soraka,"1,013,230",2.96:1,51.2%,4.53%,1.26%,25.42,"7,780"
16,17,Xerath,"996,570",2.57:1,51.23%,4.46%,7.8%,54.4,"9,990"
17,18,Yuumi,"970,666",4.57:1,47.13%,4.34%,3.33%,13.6,"7,763"
18,19,Janna,"882,982",3.17:1,51.4%,3.95%,2.14%,27.49,"8,181"
19,20,Rakan,"881,556",2.89:1,50.21%,3.94%,0.89%,30.52,"7,962"
20,21,Braum,"876,754",2.95:1,51.76%,3.92%,1.17%,27.26,"8,163"
21,22,Ashe,"792,377",2.08:1,46.95%,3.54%,6.78%,50.61,"9,049"
22,23,Alistar,"758,910",2.55:1,50.24%,3.39%,1.29%,27.54,"7,970"
23,24,Sona,"704,677",3.02:1,52.21%,3.15%,0.21%,27.95,"8,382"
24,25,Swain,"655,381",2.24:1,48.86%,2.93%,1.86%,53.2,"9,612"
25,26,Vel'Koz,"603,799",2.23:1,50.88%,2.7%,0.69%,56.22,"9,866"
26,27,Rell,"603,750",2.82:1,50.77%,2.7%,1.03%,27.8,"8,166"
27,28,Neeko,"599,682",2.13:1,49.16%,2.68%,1.79%,52.97,"9,300"
28,29,Pantheon,"577,372",1.93:1,48.49%,2.58%,2.11%,50.41,"10,125"
29,30,Maokai,"511,195",2.38:1,50.83%,2.29%,0.87%,38.7,"8,614"
30,31,Hwei,"466,558",2.16:1,46.87%,2.09%,12.48%,55.95,"9,536"
31,32,Zilean,"433,768",3.15:1,50.92%,1.94%,0.46%,45.11,"8,550"
32,33,Shaco,"429,345",2.38:1,51.15%,1.92%,32.52%,43.68,"9,633"
33,34,Bard,"395,522",2.96:1,49.4%,1.77%,0.33%,30.06,"8,522"
34,35,Renata Glasc,"332,427",2.71:1,50.11%,1.49%,0.33%,32.49,"8,306"
35,36,Tahm Kench,"327,729",2.47:1,51.26%,1.47%,2.01%,41.67,"9,207"
36,37,Camille,"325,153",1.91:1,49.13%,1.45%,6.17%,39.64,"9,663"
37,38,Taric,"302,354",2.82:1,53.06%,1.35%,0.27%,35.75,"8,260"
38,39,Malphite,"275,608",2.14:1,47.53%,1.23%,10.05%,53.94,"9,578"
39,40,Poppy,"271,881",2.42:1,53.08%,1.22%,2.11%,38.29,"9,243"
40,41,Teemo,"195,619",1.89:1,51.14%,0.87%,10.25%,63.91,"9,896"
41,42,Miss Fortune,"177,450",2.03:1,44.21%,0.79%,3.72%,66.01,"9,675"
42,43,Veigar,"162,666",1.94:1,47.28%,0.73%,4.36%,70.15,"10,054"
43,44,Galio,"154,264",2.5:1,50.77%,0.69%,1.28%,43.59,"8,825"
44,45,Shen,"153,832",2.75:1,50.47%,0.69%,0.45%,41.62,"8,891"
45,46,Zac,"143,131",2.71:1,51.25%,0.64%,2.79%,47.44,"9,167"
46,47,Amumu,"136,362",2.15:1,50.89%,0.61%,1.95%,40.08,"8,628"
47,48,Sylas,"122,760",1.81:1,49.17%,0.55%,11.91%,49.01,"9,923"
48,49,Heimerdinger,"105,209",1.85:1,48.63%,0.47%,1.7%,63.39,"9,513"
49,50,Fiddlesticks,"104,151",2.08:1,51.52%,0.47%,1.16%,50.01,"9,550"
50,51,Twitch,"102,734",1.89:1,43.66%,0.46%,7.74%,59.82,"10,996"
51,52,Rumble,"102,557",1.96:1,47.28%,0.46%,2.35%,51.37,"9,457"
52,53,LeBlanc,"99,327",2.57:1,51%,0.44%,8.68%,45.8,"10,040"
53,54,Skarner,"93,609",2.29:1,49.68%,0.42%,24.13%,37.94,"8,753"
54,55,Annie,"78,160",2.22:1,49.97%,0.35%,0.72%,44.71,"9,283"
55,56,Ziggs,"74,214",2:1,46.99%,0.33%,0.32%,75.76,"10,098"
56,57,Sett,"73,371",1.82:1,47.28%,0.33%,3.59%,57.85,"9,402"
57,58,Anivia,"69,430",2.31:1,48.59%,0.31%,1.34%,65.23,"9,607"
58,59,Zoe,"64,513",2.27:1,50.33%,0.29%,0.84%,48.01,"9,913"
59,60,Lee Sin,"50,018",1.92:1,43.84%,0.22%,13.71%,58.53,"10,338"
60,61,Gragas,"49,696",2.07:1,48.4%,0.22%,1.79%,47.17,"8,970"
61,62,Cho'Gath,"49,268",2.03:1,47.43%,0.22%,0.7%,64.3,"9,733"
62,63,Jarvan IV,"43,159",2.53:1,50.08%,0.19%,0.83%,50.28,"9,827"
63,64,Ahri,"42,306",2.08:1,47.92%,0.19%,9.47%,65.94,"9,648"
64,65,Twisted Fate,"41,285",2.05:1,48.04%,0.18%,1.9%,55.46,"9,463"
65,66,Sion,"41,251",1.84:1,49.53%,0.18%,1.08%,73.76,"9,976"
66,67,Ezreal,"37,363",1.63:1,36.59%,0.17%,3.73%,75.57,"9,222"
67,68,Nidalee,"36,930",2.26:1,48.27%,0.17%,2.37%,47.66,"9,756"
68,69,Taliyah,"34,782",1.96:1,49.17%,0.16%,3.73%,64.29,"10,020"
69,70,Ornn,"34,706",2.17:1,45.36%,0.16%,0.52%,55.09,"9,065"
70,71,Vex,"34,138",2.01:1,47.67%,0.15%,4.04%,63.66,"9,973"
71,72,Lissandra,"31,435",1.98:1,46.78%,0.14%,1.06%,59.01,"9,141"
72,73,Caitlyn,"31,256",1.54:1,37.88%,0.14%,20.05%,75.94,"9,522"
73,74,Malzahar,"29,316",1.85:1,45.45%,0.13%,7.58%,89.64,"9,877"
74,75,Ivern,"28,989",2.85:1,49.26%,0.13%,0.45%,37.62,"8,223"
75,76,Syndra,"27,605",1.93:1,46.28%,0.12%,1.99%,64.93,"9,873"
76,77,Yasuo,"25,389",1.23:1,36.08%,0.11%,24.59%,102.5,"8,594"
77,78,Kalista,"23,606",1.54:1,39.08%,0.11%,1.24%,65.08,"9,752"
78,79,Kennen,"22,891",2.05:1,50.82%,0.1%,0.95%,54.23,"9,609"
79,80,Orianna,"22,773",2.46:1,45%,0.1%,0.77%,57.53,"8,961"
80,81,Varus,"22,707",1.76:1,41.02%,0.1%,1.15%,72.19,"9,569"
81,82,Aurelion Sol,"22,593",1.98:1,43.9%,0.1%,6.09%,85.23,"10,032"
82,83,Nasus,"22,299",1.89:1,43.25%,0.1%,4.16%,69.93,"8,974"
83,84,Sejuani,"21,254",2.33:1,47.22%,0.1%,0.4%,54.7,"9,142"
84,85,Yone,"20,658",1.21:1,32.67%,0.09%,14.45%,95.42,"8,277"
85,86,Rammus,"19,543",2.19:1,49.95%,0.09%,8.14%,48.63,"8,910"
86,87,Karthus,"19,388",1.84:1,45.91%,0.09%,16.06%,78.4,"10,898"
87,88,Jhin,"19,367",2.19:1,42.87%,0.09%,7.45%,77.58,"10,227"
88,89,Darius,"19,185",1.63:1,42.81%,0.09%,22.76%,72.64,"9,251"
89,90,Kog'Maw,"18,687",1.86:1,47.18%,0.08%,1.6%,74.73,"9,997"
90,91,Singed,"17,449",2.05:1,47.11%,0.08%,0.3%,71.77,"9,314"
91,92,Mordekaiser,"17,324",1.57:1,41.35%,0.08%,17.83%,72.41,"9,151"
92,93,Trundle,"16,171",1.86:1,43.71%,0.07%,4.07%,72.75,"9,393"
93,94,Nunu & Willump,"15,935",1.77:1,41.09%,0.07%,0.44%,54.35,"9,151"
94,95,Dr. Mundo,"15,813",1.9:1,46.57%,0.07%,3.22%,64.11,"9,244"
95,96,Jax,"15,418",1.6:1,43.39%,0.07%,10.19%,66.92,"9,557"
96,97,Kai'Sa,"13,693",1.92:1,39.28%,0.06%,1.65%,81.36,"9,900"
97,98,Wukong,"13,667",1.98:1,47.8%,0.06%,0.38%,63.6,"10,175"
98,99,Vi,"13,266",1.78:1,47.86%,0.06%,1.78%,60.76,"9,907"
99,100,Zed,"13,047",1.8:1,41.87%,0.06%,22.78%,80.73,"10,208"
100,101,Volibear,"12,683",1.68:1,42.58%,0.06%,4.35%,66.81,"9,154"
101,102,Smolder,"12,449",1.79:1,36.84%,0.06%,3.81%,94.11,"9,145"
102,103,Fizz,"12,232",1.96:1,47.3%,0.05%,10.06%,68.15,"10,846"
103,104,Garen,"11,760",1.61:1,37.02%,0.05%,4.73%,92.48,"9,188"
104,105,Ekko,"11,667",1.93:1,46.47%,0.05%,1.89%,69.53,"10,320"
105,106,Vayne,"11,613",1.25:1,31.66%,0.05%,11.45%,96.89,"8,109"
106,107,Kayle,"11,485",2.29:1,43.2%,0.05%,1.86%,71.4,"8,814"
107,108,Elise,"10,913",2.09:1,51.4%,0.05%,0.7%,42.71,"9,908"
108,109,Xin Zhao,"10,828",1.66:1,47.1%,0.05%,1.27%,62.09,"9,957"
109,110,Tristana,"10,772",1.41:1,34.87%,0.05%,3.94%,97.79,"9,218"
110,111,Aatrox,"10,424",1.57:1,37.73%,0.05%,10.56%,68.82,"8,699"
111,112,Jinx,"10,363",1.42:1,31.19%,0.05%,16.38%,98.23,"8,233"
112,113,Corki,"9,515",1.65:1,36.82%,0.04%,3.74%,77.7,"9,290"
113,114,Quinn,"8,742",1.87:1,46.9%,0.04%,1.08%,65.04,"10,208"
114,115,Akali,"8,586",1.66:1,38.4%,0.04%,19.64%,69.47,"8,926"
115,116,Akshan,"8,555",1.67:1,38.14%,0.04%,6.89%,73.36,"9,332"
116,117,Azir,"8,073",1.38:1,34.6%,0.04%,0.65%,70.84,"8,400"
117,118,Lucian,"8,031",1.41:1,30.3%,0.04%,4.94%,96.95,"8,495"
118,119,Rengar,"7,935",1.6:1,43.36%,0.04%,2.58%,62.42,"10,031"
119,120,Katarina,"7,902",1.71:1,37.98%,0.04%,7.24%,73.54,"9,495"
120,121,Irelia,"7,854",1.14:1,30.18%,0.04%,11.11%,113.29,"7,504"
121,122,Illaoi,"7,799",1.29:1,40.34%,0.03%,13.33%,78.53,"9,168"
122,123,Diana,"7,400",1.61:1,42.08%,0.03%,4.43%,76.61,"10,103"
123,124,Urgot,"6,673",1.79:1,42.98%,0.03%,1.81%,80.3,"9,785"
124,125,Jayce,"6,182",1.6:1,37.37%,0.03%,1.9%,91.17,"9,453"
125,126,Yorick,"6,070",1.64:1,40.2%,0.03%,6.06%,99.92,"9,243"
126,127,Warwick,"6,062",1.67:1,43.27%,0.03%,4.46%,60.1,"9,616"
127,128,Briar,"6,044",1.39:1,40.87%,0.03%,12.62%,64.55,"10,350"
128,129,K'Sante,"5,776",1.5:1,36.5%,0.03%,2.25%,62.42,"8,539"
129,130,Viego,"5,619",1.75:1,42.25%,0.03%,8.01%,64.93,"9,554"
130,131,Master Yi,"5,615",1.53:1,41.03%,0.03%,16.06%,79.59,"10,515"
131,132,Viktor,"5,545",1.79:1,42.45%,0.02%,0.98%,78.52,"9,146"
132,133,Cassiopeia,"5,503",1.59:1,40.76%,0.02%,1.82%,76.87,"9,236"
133,134,Kled,"5,443",2.17:1,45.86%,0.02%,0.83%,62.93,"10,006"
134,135,Lillia,"5,378",1.92:1,45.69%,0.02%,5.41%,67.45,"9,843"
135,136,Bel'Veth,"5,174",1.82:1,42.89%,0.02%,5.01%,58.34,"9,404"
136,137,Evelynn,"5,084",2.15:1,47.25%,0.02%,5.36%,43.26,"10,634"
137,138,Qiyana,"4,727",1.73:1,43.52%,0.02%,0.49%,61.25,"10,039"
138,139,Tryndamere,"4,697",1.43:1,36.96%,0.02%,3.97%,116.71,"8,995"
139,140,Riven,"4,667",1.51:1,35.44%,0.02%,0.96%,77.71,"8,577"
140,141,Renekton,"4,480",1.5:1,35.09%,0.02%,3.28%,92.22,"8,536"
141,142,Samira,"4,105",1.08:1,26.41%,0.02%,20.69%,88.1,"7,167"
142,143,Naafiri,"3,931",1.61:1,39.79%,0.02%,1.13%,79.69,"9,975"
143,144,Ryze,"3,815",1.66:1,40.31%,0.02%,0.24%,77.59,"8,929"
144,145,Rek'Sai,"3,769",2.17:1,49.38%,0.02%,2.37%,43.36,"9,830"
145,146,Udyr,"3,300",1.68:1,42.67%,0.01%,1.06%,68.59,"9,270"
146,147,Gangplank,"3,186",1.54:1,31.45%,0.01%,1.31%,96.18,"9,442"
147,148,Sivir,"2,942",1.5:1,31.51%,0.01%,0.54%,104.12,"8,305"
148,149,Gnar,"2,848",1.59:1,37.89%,0.01%,0.46%,68.36,"8,735"
149,150,Fiora,"2,825",1.36:1,35.01%,0.01%,5.51%,90.16,"8,822"
150,151,Vladimir,"2,740",1.42:1,32.81%,0.01%,2.87%,80.92,"7,590"
151,152,Draven,"2,447",1.16:1,27.91%,0.01%,20.2%,96,"9,409"
152,153,Talon,"2,400",1.62:1,38.54%,0.01%,0.65%,82.36,"9,811"
153,154,Graves,"2,296",1.64:1,36.45%,0.01%,2.3%,92.88,"9,782"
154,155,Aphelios,"2,259",1.03:1,26.78%,0.01%,1.1%,97.56,"7,806"
155,156,Zeri,"2,115",1.37:1,28.46%,0.01%,1.13%,97.7,"8,159"
156,157,Gwen,"2,020",1.3:1,33.86%,0.01%,1.65%,99.05,"8,082"
157,158,Nocturne,"1,900",1.72:1,42.79%,0.01%,8.48%,79.68,"9,932"
158,159,Kayn,"1,771",1.48:1,38.79%,0.01%,5.9%,83.24,"9,830"
159,160,Olaf,"1,771",1.44:1,36.19%,0.01%,1.61%,80.14,"8,482"
160,161,Nilah,"1,698",1.19:1,31.92%,0.01%,3.39%,104.72,"8,127"
161,162,Kassadin,"1,692",1.54:1,31.86%,0.01%,3.44%,82.36,"8,435"
