,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
0,1,Darius,"1,999,380",1.79:1,49.64%,8.94%,22.76%,186.05,"12,088"
1,2,Sett,"1,901,609",1.71:1,52.15%,8.5%,3.59%,178.51,"12,111"
2,3,Mordekaiser,"1,897,180",1.95:1,52.01%,8.48%,17.83%,177.65,"11,997"
3,4,Garen,"1,712,452",2.05:1,50.85%,7.66%,4.73%,201.4,"12,625"
4,5,Aatrox,"1,583,757",1.79:1,48.84%,7.08%,10.56%,181.14,"11,492"
5,6,Camille,"1,254,968",1.89:1,50.77%,5.61%,6.17%,176.66,"11,752"
6,7,Malphite,"1,234,526",2.52:1,51.1%,5.52%,10.05%,167.18,"10,904"
7,8,Jax,"1,165,963",1.63:1,49.73%,5.21%,10.19%,178.44,"11,867"
8,9,Teemo,"1,159,443",1.75:1,50.62%,5.18%,10.25%,187.97,"12,136"
9,10,Nasus,"1,136,287",1.89:1,50.46%,5.08%,4.16%,187.48,"11,868"
10,11,Yone,"1,123,450",1.44:1,46.44%,5.02%,14.45%,196.6,"11,961"
11,12,Renekton,"1,100,234",1.91:1,49.77%,4.92%,3.28%,194.64,"12,007"
12,13,Tryndamere,"979,659",1.68:1,51.56%,4.38%,3.97%,217.06,"13,072"
13,14,Yorick,"979,506",1.67:1,52.28%,4.38%,6.06%,211.37,"12,726"
14,15,Kayle,"966,157",1.85:1,52.03%,4.32%,1.86%,215.38,"12,667"
15,16,Dr. Mundo,"922,005",1.98:1,52.2%,4.12%,3.22%,191.53,"11,710"
16,17,Illaoi,"912,518",1.49:1,50.48%,4.08%,13.33%,194.28,"12,090"
17,18,Volibear,"892,123",1.67:1,50.2%,3.99%,4.35%,175.56,"11,697"
18,19,K'Sante,"849,562",1.78:1,44.21%,3.8%,2.25%,176.41,"10,697"
19,20,Irelia,"831,594",1.59:1,50.06%,3.72%,11.11%,219.14,"12,761"
20,21,Trundle,"814,463",1.42:1,51.52%,3.64%,4.07%,196.26,"12,634"
21,22,Fiora,"784,258",1.54:1,50.39%,3.51%,5.51%,193.13,"12,173"
22,23,Urgot,"761,658",1.97:1,51.93%,3.41%,1.81%,194.44,"12,662"
23,24,Sion,"754,150",1.53:1,50.11%,3.37%,1.08%,209.69,"12,551"
24,25,Vayne,"732,677",1.58:1,49.86%,3.28%,11.45%,183.98,"11,943"
25,26,Riven,"718,560",1.84:1,48.86%,3.21%,0.96%,186.83,"11,993"
26,27,Ornn,"697,467",2.4:1,49.8%,3.12%,0.52%,172.68,"10,758"
27,28,Tahm Kench,"693,977",2.53:1,51.5%,3.1%,2.01%,157.33,"11,023"
28,29,Shen,"680,473",2.95:1,50.7%,3.04%,0.45%,149.69,"10,281"
29,30,Jayce,"614,769",1.73:1,47.85%,2.75%,1.9%,198.98,"12,208"
30,31,Yasuo,"545,520",1.36:1,46.44%,2.44%,24.59%,199.09,"11,893"
31,32,Gangplank,"544,002",1.91:1,47.12%,2.43%,1.31%,208.21,"14,023"
32,33,Rumble,"539,038",1.98:1,48.5%,2.41%,2.35%,181.58,"11,680"
33,34,Gwen,"538,924",1.67:1,49.94%,2.41%,1.65%,193.15,"12,219"
34,35,Gragas,"529,824",2.17:1,50.11%,2.37%,1.79%,174.43,"11,013"
35,36,Akali,"510,295",2:1,48.01%,2.28%,19.64%,172.48,"11,765"
36,37,Skarner,"503,017",2.2:1,48.99%,2.25%,24.13%,161.14,"10,460"
37,38,Gnar,"477,260",1.89:1,48.35%,2.13%,0.46%,181.29,"11,574"
38,39,Cho'Gath,"477,009",2.06:1,50.1%,2.13%,0.7%,177.27,"11,689"
39,40,Pantheon,"433,152",1.97:1,48.5%,1.94%,2.11%,162.6,"11,631"
40,41,Kennen,"428,376",2.04:1,50.4%,1.92%,0.95%,177.68,"11,660"
41,42,Zac,"337,326",2.61:1,51.49%,1.51%,2.79%,164.33,"10,821"
42,43,Warwick,"332,670",1.87:1,51.47%,1.49%,4.46%,171.04,"11,823"
43,44,Olaf,"321,702",1.66:1,48.96%,1.44%,1.61%,187.25,"12,244"
44,45,Kled,"319,177",2.14:1,51.56%,1.43%,0.83%,174.07,"12,289"
45,46,Quinn,"313,682",1.85:1,50.63%,1.4%,1.08%,181.05,"12,334"
46,47,Heimerdinger,"302,345",1.63:1,50.23%,1.35%,1.7%,187.7,"12,030"
47,48,Twisted Fate,"300,822",1.84:1,50.87%,1.34%,1.9%,184.09,"12,555"
48,49,Poppy,"275,196",2.26:1,51.26%,1.23%,2.11%,164.1,"10,756"
49,50,Singed,"258,754",1.74:1,49.82%,1.16%,0.3%,199.74,"11,717"
50,51,Wukong,"202,652",2.02:1,50.96%,0.91%,0.38%,181.32,"12,244"
51,52,Sylas,"170,364",1.77:1,48.57%,0.76%,11.91%,151.46,"10,965"
52,53,Vladimir,"170,094",1.96:1,48.24%,0.76%,2.87%,193.12,"11,539"
53,54,Udyr,"151,325",1.75:1,49.11%,0.68%,1.06%,180.97,"11,089"
54,55,Akshan,"124,873",1.92:1,50.93%,0.56%,6.89%,176.73,"12,032"
55,56,Cassiopeia,"124,374",1.84:1,51.56%,0.56%,1.82%,197.5,"11,966"
56,57,Malzahar,"120,736",1.9:1,51.03%,0.54%,7.58%,217.82,"12,345"
57,58,Ryze,"112,341",1.9:1,49.82%,0.5%,0.24%,213.05,"12,250"
58,59,Smolder,"100,597",1.69:1,46.08%,0.45%,3.81%,213.64,"12,038"
59,60,Zed,"98,892",2.01:1,49.65%,0.44%,22.78%,179.54,"12,127"
60,61,Rammus,"97,943",1.38:1,48.44%,0.44%,8.14%,169.89,"10,791"
61,62,Viego,"96,707",1.64:1,47.3%,0.43%,8.01%,177.34,"11,392"
62,63,Varus,"94,271",1.72:1,48.14%,0.42%,1.15%,190.3,"12,481"
63,64,Lee Sin,"91,739",1.68:1,44.57%,0.41%,13.71%,175.62,"11,887"
64,65,Tristana,"86,247",1.67:1,49.74%,0.39%,3.94%,189.08,"11,938"
65,66,Swain,"85,390",2.14:1,49.46%,0.38%,1.86%,164.45,"10,732"
66,67,Rengar,"85,369",1.74:1,48.69%,0.38%,2.58%,177.65,"11,913"
67,68,Sejuani,"85,218",2.15:1,48.41%,0.38%,0.4%,174.72,"11,114"
