Combination,Wins,Losses,Total Games,Win Rate
"('Pyke', 'Samira', 'Skarner', 'Taliyah', 'Vi')",3,0,3,1.0
"('Diana', 'Hwei', 'Jinx', 'Skarner', 'Twisted Fate')",1,0,1,1.0
"(""Kog'Maw"", 'Lulu', 'Olaf', 'Taliyah', 'Yone')",1,0,1,1.0
"('Akshan', 'Jax', 'Rumble', 'Varus', ""Vel'Koz"")",1,0,1,1.0
"('Cassiopeia', 'Corki', 'Gangplank', 'Karthus', 'Nautilus')",1,0,1,1.0
"('Blitzcrank', 'Brand', ""Kai'Sa"", 'Malphite', 'Tristana')",1,0,1,1.0
"('Caitlyn', 'Diana', 'Graves', 'Nautilus', 'Twisted Fate')",1,0,1,1.0
"('Ashe', 'Camille', 'Ivern', 'Singed', 'Tristana')",1,0,1,1.0
"('Graves', 'Hwei', 'Lucian', 'Milio', 'Singed')",1,0,1,1.0
"('Blitzcrank', 'Jax', 'Rumble', 'Varus', 'Yone')",1,0,1,1.0
"('Diana', ""Kai'Sa"", 'Rakan', 'Renekton', 'Tristana')",1,0,1,1.0
"('Jax', 'Jayce', 'Sivir', 'Taliyah', 'Thresh')",1,0,1,1.0
"('Gangplank', 'Graves', 'Hwei', 'Rell', 'Varus')",2,0,2,1.0
"('Corki', ""Kha'Zix"", 'LeBlanc', 'Poppy', 'Renata Glasc')",1,0,1,1.0
"('Bard', 'Caitlyn', 'Diana', 'Tahm Kench', 'Yasuo')",1,0,1,1.0
"('Blitzcrank', 'Gwen', 'Jax', 'Jhin', 'Taliyah')",1,0,1,1.0
"('Ashe', 'Jayce', 'Leona', 'Nidalee', 'Rumble')",1,0,1,1.0
"('Ahri', 'Ashe', 'Lillia', 'Nautilus', 'Skarner')",1,0,1,1.0
"('Camille', 'Galio', 'Lee Sin', 'Varus', 'Zyra')",1,0,1,1.0
"('Ahri', 'Leona', ""Rek'Sai"", 'Renekton', 'Varus')",1,0,1,1.0
"('Gragas', 'Kalista', 'LeBlanc', 'Skarner', 'Viego')",1,0,1,1.0
"('Ashe', 'Brand', 'Lee Sin', 'Malphite', 'Varus')",1,0,1,1.0
"('Akshan', 'Irelia', 'Jinx', 'Rell', 'Taliyah')",1,0,1,1.0
"('Kayle', 'Nidalee', 'Rell', 'Talon', 'Zeri')",1,0,1,1.0
"('Aurelion Sol', 'Braum', 'Jayce', ""Kai'Sa"", 'Kindred')",4,0,4,1.0
"('Graves', 'Janna', 'Rumble', 'Syndra', 'Varus')",2,0,2,1.0
"('Caitlyn', 'Graves', 'Hwei', 'Lux', 'Mordekaiser')",4,0,4,1.0
"('Akshan', 'Lillia', 'Tryndamere', 'Yuumi', 'Zeri')",3,0,3,1.0
"('Ashe', 'Corki', 'Diana', 'Rumble', 'Yasuo')",5,0,5,1.0
"('Ashe', 'Camille', 'Gwen', 'Jayce', 'Rumble')",2,0,2,1.0
"('Ezreal', 'Gnar', 'Karthus', 'Rell', 'Tristana')",1,0,1,1.0
"('Ashe', 'Ekko', 'Hwei', 'Tristana', 'Vladimir')",1,0,1,1.0
"('Ashe', 'Corki', 'Fiora', 'Maokai', 'Taliyah')",1,0,1,1.0
"('Aurelion Sol', 'Karthus', 'Rakan', 'Tryndamere', 'Zeri')",2,0,2,1.0
"('Jinx', 'Mordekaiser', 'Talon', 'Thresh', 'Xin Zhao')",1,0,1,1.0
"('Ashe', 'Braum', 'Hecarim', 'Orianna', 'Rumble')",2,0,2,1.0
"(""Kai'Sa"", 'Olaf', 'Pyke', 'Rumble', 'Tryndamere')",1,0,1,1.0
"(""Kai'Sa"", 'Rell', 'Tahm Kench', 'Taliyah', 'Yasuo')",2,0,2,1.0
"('Graves', 'Nautilus', 'Shen', 'Varus', 'Xerath')",2,0,2,1.0
"('Brand', 'Jayce', 'Rumble', 'Skarner', 'Varus')",1,0,1,1.0
"('Galio', 'Lee Sin', 'Rell', 'Rumble', 'Varus')",1,0,1,1.0
"('Gnar', 'Rakan', 'Taliyah', 'Tristana', 'Twitch')",1,0,1,1.0
"('Ezreal', 'Gnar', 'Kindred', 'Malphite', 'Pyke')",1,0,1,1.0
"('Ashe', 'Graves', 'Rammus', 'Rumble', 'Twisted Fate')",2,0,2,1.0
"('Ashe', ""Kha'Zix"", 'Leona', 'Tryndamere', 'Twisted Fate')",1,0,1,1.0
"('Bard', 'Gragas', 'Kindred', 'Nunu & Willump', 'Varus')",2,0,2,1.0
"('Azir', 'Braum', 'Kindred', 'Renekton', 'Varus')",1,0,1,1.0
"(""Bel'Veth"", 'Gnar', 'LeBlanc', 'Miss Fortune', 'Varus')",2,0,2,1.0
"('Dr. Mundo', 'Rell', 'Samira', 'Taliyah', 'Tristana')",1,0,1,1.0
"('Aphelios', 'Nidalee', 'Renekton', 'Thresh', 'Zac')",1,0,1,1.0
"('Rell', 'Rumble', 'Tristana', 'Viego', 'Zeri')",2,0,2,1.0
"('Alistar', 'Brand', 'Darius', 'Hwei', 'Jhin')",1,0,1,1.0
"('Ashe', 'Braum', 'Hwei', 'Vayne', 'Xin Zhao')",1,0,1,1.0
"('Galio', 'Jax', ""Kai'Sa"", 'Kindred', 'Yasuo')",1,0,1,1.0
"('Ashe', 'LeBlanc', 'Rumble', 'Viego', 'Zyra')",2,0,2,1.0
"('Alistar', 'Briar', 'Gnar', 'Lucian', 'Rumble')",2,0,2,1.0
"('Galio', ""Kai'Sa"", 'Lee Sin', 'Qiyana', 'Sett')",2,0,2,1.0
"(""Bel'Veth"", 'Galio', 'Morgana', 'Skarner', 'Zeri')",3,0,3,1.0
"('Akshan', 'Lee Sin', 'Nautilus', 'Rumble', 'Senna')",2,0,2,1.0
"('Caitlyn', 'Lillia', 'Lux', 'Quinn', 'Twisted Fate')",1,0,1,1.0
"('Camille', 'Nilah', 'Sion', 'Taliyah', 'Twisted Fate')",1,0,1,1.0
"('Blitzcrank', 'Ekko', 'Fiora', 'Jinx', 'Tristana')",1,0,1,1.0
"('Draven', 'Katarina', 'Skarner', 'Sylas', 'Thresh')",2,0,2,1.0
"('Graves', 'Jax', 'Kalista', 'Thresh', 'Twisted Fate')",1,0,1,1.0
"('Aatrox', 'Camille', 'Ivern', 'Kalista', 'Tristana')",1,0,1,1.0
"('Corki', 'Jayce', ""Kai'Sa"", 'Nautilus', 'Nidalee')",2,0,2,1.0
"('Blitzcrank', 'Draven', 'Fiddlesticks', 'Jax', 'Viego')",1,0,1,1.0
"('Ashe', 'Diana', 'Jax', 'Nautilus', 'Yasuo')",1,0,1,1.0
"('Brand', 'Lucian', 'Milio', 'Qiyana', 'Skarner')",1,0,1,1.0
"('Pyke', ""Rek'Sai"", 'Skarner', 'Smolder', 'Taliyah')",1,0,1,1.0
"('Draven', 'Graves', 'Syndra', 'Thresh', 'Vladimir')",2,0,2,1.0
"('Camille', 'Gangplank', ""Kai'Sa"", 'Nidalee', 'Yone')",1,0,1,1.0
"('Jhin', ""K'Sante"", 'Kindred', 'Neeko', 'Rell')",2,0,2,1.0
"('Graves', 'Jax', 'Jhin', 'Orianna', 'Zilean')",2,0,2,1.0
"('Jhin', 'LeBlanc', 'Ornn', 'Seraphine', 'Vi')",2,0,2,1.0
"(""Kai'Sa"", 'Kled', 'Pyke', 'Taliyah', 'Vi')",1,0,1,1.0
"('Aphelios', 'Malzahar', 'Poppy', 'Skarner', 'Taliyah')",1,0,1,1.0
"('Blitzcrank', ""Kai'Sa"", 'Neeko', ""Rek'Sai"", 'Renekton')",2,0,2,1.0
"(""K'Sante"", ""Kog'Maw"", 'LeBlanc', 'Lulu', 'Nidalee')",3,0,3,1.0
"('Braum', 'Gwen', 'Jax', 'Jhin', 'Sion')",1,0,1,1.0
"('Akali', 'Lee Sin', 'Rumble', 'Sona', 'Twisted Fate')",4,0,4,1.0
"('Kindred', 'Nautilus', 'Taliyah', 'Tryndamere', 'Twisted Fate')",3,0,3,1.0
"('Ashe', 'Kennen', 'Orianna', 'Rell', 'Vi')",1,0,1,1.0
"('Corki', 'Pyke', 'Rumble', 'Samira', 'Skarner')",1,0,1,1.0
"('Akali', 'Kalista', 'Nautilus', 'Renekton', 'Viego')",1,0,1,1.0
"('Ahri', 'Jhin', 'Nidalee', 'Renekton', 'Skarner')",1,0,1,1.0
"('Draven', 'Karthus', 'Nautilus', 'Renekton', 'Tristana')",1,0,1,1.0
"('Alistar', 'Hwei', ""Kai'Sa"", 'Renekton', 'Skarner')",1,0,1,1.0
"('Ashe', 'Jax', 'Nidalee', 'Seraphine', 'Tristana')",1,0,1,1.0
"('Aatrox', 'Ashe', 'Blitzcrank', 'LeBlanc', 'Xin Zhao')",4,0,4,1.0
"('Galio', 'Morgana', 'Riven', 'Varus', 'Vi')",2,0,2,1.0
"('Darius', 'Katarina', 'Lee Sin', 'Rell', 'Varus')",1,0,1,1.0
"(""Bel'Veth"", 'Neeko', 'Senna', 'Shen', 'Sion')",2,0,2,1.0
"('Ahri', 'Hecarim', 'Jax', 'Maokai', 'Senna')",1,0,1,1.0
