champion_combination,win_count,loss_count,total_games,win_rate
"(147, 151, 157, 160, 163)",1,0,1,1.0
"(21, 53, 96, 130, 134)",1,0,1,1.0
"(8, 15, 18, 19, 103)",3,0,3,1.0
"(21, 64, 99, 104, 142)",1,0,1,1.0
"(8, 14, 53, 114, 161)",2,0,2,1.0
"(8, 14, 26, 55, 101)",2,0,2,1.0
"(8, 14, 17, 73, 109)",2,0,2,1.0
"(8, 13, 91, 107, 142)",1,0,1,1.0
"(8, 13, 69, 106, 142)",3,0,3,1.0
"(21, 64, 116, 154, 158)",1,0,1,1.0
"(21, 64, 122, 134, 142)",1,0,1,1.0
"(21, 65, 70, 88, 141)",1,0,1,1.0
"(8, 10, 103, 114, 140)",1,0,1,1.0
"(21, 65, 87, 114, 138)",1,0,1,1.0
"(21, 65, 95, 104, 135)",1,0,1,1.0
"(21, 65, 106, 127, 142)",2,0,2,1.0
"(21, 65, 122, 138, 158)",1,0,1,1.0
"(8, 10, 64, 107, 166)",1,0,1,1.0
"(21, 68, 69, 87, 142)",1,0,1,1.0
"(8, 10, 54, 79, 155)",1,0,1,1.0
"(21, 68, 69, 104, 142)",2,0,2,1.0
"(8, 10, 40, 108, 132)",1,0,1,1.0
"(21, 68, 73, 80, 156)",1,0,1,1.0
"(21, 69, 73, 97, 142)",1,0,1,1.0
"(8, 10, 24, 142, 148)",1,0,1,1.0
"(21, 69, 101, 110, 142)",1,0,1,1.0
"(21, 73, 112, 114, 148)",1,0,1,1.0
"(21, 74, 103, 122, 163)",1,0,1,1.0
"(21, 87, 89, 135, 154)",1,0,1,1.0
"(8, 15, 23, 69, 108)",1,0,1,1.0
"(21, 64, 90, 109, 145)",1,0,1,1.0
"(21, 63, 70, 115, 148)",1,0,1,1.0
"(8, 20, 23, 89, 98)",1,0,1,1.0
"(21, 53, 116, 127, 134)",3,0,3,1.0
"(8, 20, 89, 104, 111)",1,0,1,1.0
"(21, 53, 129, 138, 156)",1,0,1,1.0
"(21, 55, 56, 96, 134)",1,0,1,1.0
"(21, 55, 69, 104, 122)",1,0,1,1.0
"(8, 20, 53, 74, 103)",1,0,1,1.0
"(8, 20, 50, 55, 69)",1,0,1,1.0
"(21, 55, 85, 99, 148)",1,0,1,1.0
"(8, 20, 50, 53, 129)",1,0,1,1.0
"(21, 55, 87, 103, 130)",3,0,3,1.0
"(8, 20, 40, 53, 87)",1,0,1,1.0
"(8, 20, 33, 103, 142)",2,0,2,1.0
"(21, 55, 88, 134, 151)",1,0,1,1.0
"(21, 59, 70, 137, 148)",1,0,1,1.0
"(21, 55, 89, 96, 114)",1,0,1,1.0
"(21, 55, 97, 99, 101)",1,0,1,1.0
"(8, 19, 75, 130, 151)",1,0,1,1.0
"(21, 55, 98, 148, 157)",1,0,1,1.0
"(8, 19, 57, 65, 106)",1,0,1,1.0
"(21, 55, 101, 130, 147)",1,0,1,1.0
"(8, 17, 122, 148, 163)",2,0,2,1.0
"(8, 17, 40, 50, 163)",1,0,1,1.0
"(21, 55, 104, 127, 148)",1,0,1,1.0
"(21, 56, 69, 130, 134)",1,0,1,1.0
"(21, 58, 88, 135, 141)",1,0,1,1.0
"(8, 15, 133, 148, 154)",1,0,1,1.0
"(8, 10, 17, 40, 76)",1,0,1,1.0
"(21, 87, 109, 135, 148)",1,0,1,1.0
"(21, 89, 104, 135, 157)",2,0,2,1.0
"(23, 24, 71, 104, 135)",1,0,1,1.0
"(22, 54, 69, 88, 163)",1,0,1,1.0
"(22, 60, 62, 80, 138)",1,0,1,1.0
"(22, 71, 113, 122, 148)",1,0,1,1.0
"(22, 76, 122, 127, 148)",2,0,2,1.0
"(7, 63, 134, 142, 148)",1,0,1,1.0
"(22, 87, 108, 109, 148)",1,0,1,1.0
"(23, 24, 25, 131, 134)",1,0,1,1.0
"(23, 24, 40, 104, 130)",2,0,2,1.0
"(7, 56, 88, 122, 130)",1,0,1,1.0
"(23, 24, 44, 104, 147)",1,0,1,1.0
"(23, 24, 51, 89, 98)",3,0,3,1.0
"(23, 24, 53, 130, 134)",1,0,1,1.0
"(23, 24, 87, 89, 135)",4,0,4,1.0
"(22, 51, 53, 87, 89)",1,0,1,1.0
"(7, 55, 64, 87, 106)",1,0,1,1.0
"(23, 24, 89, 120, 134)",1,0,1,1.0
"(23, 24, 96, 138, 148)",1,0,1,1.0
"(23, 24, 97, 130, 142)",1,0,1,1.0
"(23, 24, 98, 109, 135)",1,0,1,1.0
"(7, 53, 134, 148, 162)",2,0,2,1.0
"(7, 53, 119, 134, 148)",1,0,1,1.0
"(23, 25, 33, 70, 96)",1,0,1,1.0
"(7, 53, 101, 103, 106)",1,0,1,1.0
"(23, 25, 36, 101, 163)",1,0,1,1.0
"(23, 25, 38, 69, 104)",2,0,2,1.0
"(7, 53, 80, 91, 109)",1,0,1,1.0
"(22, 51, 65, 68, 113)",1,0,1,1.0
"(7, 69, 87, 111, 138)",1,0,1,1.0
"(21, 92, 122, 148, 160)",1,0,1,1.0
"(21, 114, 121, 148, 158)",1,0,1,1.0
"(21, 93, 132, 144, 148)",1,0,1,1.0
"(21, 96, 134, 138, 142)",1,0,1,1.0
"(21, 98, 106, 113, 130)",1,0,1,1.0
"(8, 9, 110, 113, 148)",1,0,1,1.0
"(21, 101, 106, 148, 157)",1,0,1,1.0
"(21, 103, 128, 134, 142)",1,0,1,1.0
"(21, 104, 106, 130, 158)",1,0,1,1.0
"(21, 107, 125, 130, 143)",3,0,3,1.0
"(8, 9, 64, 66, 87)",1,0,1,1.0
"(21, 109, 114, 131, 142)",2,0,2,1.0
"(8, 9, 26, 62, 134)",1,0,1,1.0
"(21, 113, 122, 145, 148)",1,0,1,1.0
"(21, 122, 135, 148, 161)",4,0,4,1.0
"(22, 50, 65, 87, 127)",1,0,1,1.0
"(22, 23, 40, 101, 149)",1,0,1,1.0
"(22, 27, 64, 104, 135)",1,0,1,1.0
"(22, 31, 129, 130, 131)",2,0,2,1.0
"(22, 33, 55, 102, 135)",1,0,1,1.0
