Combination,Wins,Losses,Total Games
"('Graves', 'Hwei', ""Kai'Sa"", 'Nautilus', 'Twisted Fate')",8,3,11
"('Jinx', 'Nautilus', 'Nidalee', 'Renekton', 'Tristana')",7,3,10
"('Azir', ""K'Sante"", ""Kai'Sa"", 'Pyke', 'Viego')",5,4,9
"('Hwei', ""Kai'Sa"", 'Kennen', 'Lee Sin', 'Rell')",4,5,9
"('Jax', 'Lulu', 'Nidalee', 'Yone', 'Zeri')",5,4,9
"('Cassiopeia', ""Kai'Sa"", 'Nautilus', 'Vex', 'Viego')",0,8,8
"(""Kai'Sa"", 'Rell', 'Rumble', 'Tristana', 'Viego')",8,0,8
"('Jayce', ""Kai'Sa"", 'Rell', 'Taliyah', 'Twisted Fate')",7,1,8
"('Corki', ""Kai'Sa"", 'Nautilus', 'Nidalee', 'Skarner')",5,3,8
"(""K'Sante"", 'Lulu', 'Nidalee', 'Tristana', 'Zeri')",8,0,8
"('Ashe', 'Lee Sin', 'Nautilus', 'Rumble', 'Tristana')",3,5,8
"('Jayce', ""Kai'Sa"", 'Nidalee', 'Rell', 'Yone')",2,6,8
"('Brand', 'Camille', 'Jinx', 'Thresh', 'Tristana')",5,3,8
"('Hecarim', 'Kled', 'LeBlanc', 'Lucian', 'Nami')",0,8,8
"(""K'Sante"", ""Kai'Sa"", 'Nautilus', 'Taliyah', 'Twisted Fate')",1,6,7
"('Jax', 'Nidalee', 'Rell', 'Tristana', 'Zeri')",4,3,7
"(""K'Sante"", ""Kai'Sa"", 'Lillia', 'Nautilus', 'Tristana')",1,6,7
"('Hwei', ""Kai'Sa"", 'Nautilus', 'Tryndamere', 'Viego')",5,2,7
"('Ashe', 'Kennen', 'Pyke', 'Taliyah', 'Tristana')",0,7,7
"(""Kai'Sa"", 'Nautilus', 'Renekton', 'Taliyah', 'Tristana')",3,4,7
"('Kalista', 'Nidalee', 'Rell', 'Skarner', 'Tristana')",7,0,7
"(""Kai'Sa"", 'Nautilus', 'Nidalee', 'Twisted Fate', 'Yone')",0,7,7
"('Hwei', ""K'Sante"", ""Kai'Sa"", 'Nidalee', 'Pyke')",7,0,7
"('Aatrox', ""Kai'Sa"", 'Nautilus', 'Nidalee', 'Tristana')",4,3,7
