Combination,Wins,Losses,Total Games,Win Rate
"('LeBlanc', 'Lee Sin', 'Lucian', 'Nami', 'Smolder')",0,3,3,0.0
"('Azir', 'Draven', 'Maokai', 'Pyke', 'Taliyah')",0,1,1,0.0
"('Akali', 'Blitzcrank', 'Jax', 'Jinx', 'Pantheon')",0,1,1,0.0
"('Brand', 'Braum', 'Caitlyn', 'Pantheon', 'Sion')",0,1,1,0.0
"('Blitzcrank', 'Corki', ""K'Sante"", 'Nidalee', 'Zeri')",0,6,6,0.0
"('Galio', 'Gangplank', ""Kai'Sa"", 'Nautilus', 'Viego')",0,1,1,0.0
"('Aatrox', 'Jhin', 'Lee Sin', 'Nautilus', 'Taliyah')",0,1,1,0.0
"('Aphelios', 'Irelia', 'Ivern', 'Lulu', 'Sejuani')",0,1,1,0.0
"('Camille', 'Galio', 'Smolder', 'Viego', 'Zeri')",0,1,1,0.0
"('Jinx', 'Kayle', 'Pantheon', 'Skarner', 'Sylas')",0,1,1,0.0
